time (s),Amplitude - Plot 0
0.756,29.2039
0.757,29.5901
0.758,29.8619
0.759,29.8548
0.76,28.4672
0.761,28.8606
0.762,28.6531
0.763,28.5172
0.764,26.9008
0.765,26.8722
0.766,26.3572
0.767,26.8936
0.768,25.1198
0.769,24.0111
0.77,23.4818
0.771,23.0813
0.772,23.2387
0.773,21.4863
0.774,20.2274
0.775,19.7053
0.776,18.7969
0.777,18.4107
0.778,17.5524
0.779,16.2148
0.78,14.6556
0.781,14.1478
0.782,12.8889
0.783,11.7373
0.784,10.6859
0.785,9.62019
0.786,8.90493
0.787,7.69615
0.788,6.12259
0.789,4.87804
0.79,3.79801
0.791,2.63214
0.792,1.43766
0.793,0.321865
0.794,-0.536442
0.795,-1.23739
0.796,-1.99556
0.797,-2.13861
0.798,-2.69651
0.799,-3.36885
0.8,-4.28438
0.801,-5.83649
0.802,-7.22408
0.803,-8.36134
0.804,-9.45568
0.805,-11.0006
0.806,-12.4669
0.807,-14.0476
0.808,-15.1491
0.809,-16.2792
0.81,-17.6382
0.811,-19.0759
0.812,-18.9257
0.813,-20.2417
0.814,-21.9011
0.815,-22.4018
0.816,-23.8609
0.817,-24.5404
0.818,-24.6334
0.819,-25.5847
0.82,-26.4287
0.821,-28.2311
0.822,-27.3585
0.823,-27.8378
0.824,-28.3313
0.825,-30.2196
0.826,-28.8749
0.827,-29.5043
0.828,-29.8548
0.829,-31.0206
0.83,-29.7117
0.831,-30.2839
0.832,-30.241
0.833,-31.3282
0.834,-29.8262
0.835,-29.7332
0.836,-29.6044
0.837,-30.8704
0.838,-28.9106
0.839,-28.553
0.84,-28.4672
0.841,-28.975
0.842,-26.8793
0.843,-27.0081
0.844,-26.2713
0.845,-26.4359
0.846,-24.7121
0.847,-24.0541
0.848,-23.6821
0.849,-22.9311
0.85,-22.5019
0.851,-20.9069
0.852,-19.784
0.853,-19.176
0.854,-17.8599
0.855,-17.5667
0.856,-16.5296
0.857,-14.9775
0.858,-12.9819
0.859,-12.0592
0.86,-10.7861
0.861,-9.84192
0.862,-8.44717
0.863,-7.07388
0.864,-5.90086
0.865,-4.70638
0.866,-3.44038
0.867,-2.03133
0.868,-0.715256
0.869,0.36478
0.87,1.02997
0.871,1.9455
0.872,2.41041
0.873,3.02553
0.874,4.11272
0.875,5.19276
0.876,6.60896
0.877,8.13246
0.878,9.54151
0.879,10.6788
0.88,12.0521
0.881,13.1965
0.882,15.1849
0.883,16.222
0.884,17.1947
0.885,17.8385
0.886,19.5193
0.887,20.3061
0.888,21.4863
0.889,22.9883
0.89,23.1886
0.891,24.3616
0.892,25.1698
0.893,26.6147
0.894,27.0939
0.895,26.5574
0.896,27.8378
0.897,28.553
0.898,30.0479
0.899,28.7104
0.9,29.3756
0.901,29.6474
0.902,30.9205
0.903,29.8119
0.904,30.0765
0.905,30.098
0.906,31.0063
0.907,29.6116
0.908,29.4471
0.909,29.9764
0.91,30.1409
0.911,28.0881
0.912,28.0738
0.913,28.46
0.914,28.131
0.915,26.0067
0.916,26.0568
0.917,25.2271
0.918,25.27
0.919,23.6106
0.92,22.2087
0.921,21.801
0.922,20.5493
0.923,20.1058
0.924,18.8684
0.925,17.3664
0.926,15.9359
0.927,15.0418
0.928,13.6113
0.929,12.517
0.93,11.2796
0.931,10.5429
0.932,8.93354
0.933,7.05957
0.934,5.65052
0.935,4.44174
0.936,2.96831
0.937,1.53065
0.938,0.236034
0.939,-0.736713
0.94,-1.688
0.941,-2.61784
0.942,-2.94685
0.943,-3.73363
0.944,-4.71354
0.945,-5.87225
0.946,-8.00371
0.947,-9.33409
0.948,-10.3641
0.949,-12.1093
0.95,-13.597
0.951,-15.2349
0.952,-16.5153
0.953,-18.146
0.954,-19.9771
0.955,-20.678
0.956,-21.2216
0.957,-22.6378
0.958,-23.5391
0.959,-25.177
0.96,-26.1354
0.961,-26.2642
0.962,-27.2727
0.963,-27.7019
0.964,-29.4614
0.965,-28.8391
0.966,-28.9965
0.967,-29.5687
0.968,-31.4283
0.969,-29.726
0.97,-29.9764
0.971,-30.6273
0.972,-31.4069
0.973,-29.7976
0.974,-30.1695
0.975,-29.9907
0.976,-30.3483
0.977,-29.0537
0.978,-28.6245
0.979,-28.1096
0.98,-28.4886
0.981,-26.8078
0.982,-25.9709
0.983,-25.0697
0.984,-25.5275
0.985,-23.582
0.986,-22.3088
0.987,-21.7223
0.988,-20.6709
0.989,-20.0701
0.99,-18.7469
0.991,-16.4938
0.992,-15.378
0.993,-14.3981
0.994,-12.8603
0.995,-11.3082
0.996,-10.2711
0.997,-8.55446
0.998,-7.08103
0.999,-5.67198
1,-4.08411
1.001,-2.38895
1.002,-0.865459
1.003,0.371933
1.004,1.20878
1.005,2.3675
1.006,3.0756
1.007,3.89099
1.008,5.24282
1.009,6.35862
1.01,8.10385
1.011,9.67026
1.012,10.7574
1.013,12.753
1.014,14.2908
1.015,15.3708
1.016,16.7513
1.017,18.9614
1.018,19.784
1.019,20.5135
1.02,22.0013
1.021,22.8167
1.022,24.4403
1.023,26.0425
1.024,25.5919
1.025,26.536
1.026,27.4587
1.027,29.5401
1.028,28.6531
1.029,29.068
1.03,29.2683
1.031,31.0063
1.032,29.9335
1.033,30.2982
1.034,29.9621
1.035,31.2638
1.036,29.8977
1.037,29.5901
1.038,29.7332
1.039,30.3197
1.04,27.9808
1.041,28.1024
1.042,27.8306
1.043,28.1096
1.044,25.6205
1.045,25.2128
1.046,24.3115
1.047,23.5176
1.048,22.9454
1.049,21.0285
1.05,19.9485
1.051,18.518
1.052,17.2663
1.053,16.3078
1.054,15.2922
1.055,13.2751
1.056,11.5514
1.057,9.97066
1.058,8.74758
1.059,7.24554
1.06,5.55038
1.061,3.88384
1.062,2.3818
1.063,0.92268
1.064,-0.450611
1.065,-1.45197
1.066,-2.68936
1.067,-3.13282
1.068,-4.12703
1.069,-5.58615
1.07,-6.845
1.071,-8.71181
1.072,-10.2282
1.073,-12.5241
1.074,-14.2622
1.075,-15.9931
1.076,-16.5081
1.077,-18.1031
1.078,-19.6695
1.079,-20.9785
1.08,-23.1242
1.081,-24.3974
1.082,-24.1685
1.083,-25.6276
1.084,-26.6576
1.085,-28.2812
1.086,-28.2741
1.087,-28.8749
1.088,-28.9178
1.089,-30.5843
1.09,-30.5843
1.091,-30.1123
1.092,-30.0765
1.093,-31.9719
1.094,-30.2982
1.095,-30.0193
1.096,-30.0193
1.097,-30.9134
1.098,-28.9822
1.099,-28.789
1.1,-28.2168
1.101,-28.1882
1.102,-26.5145
1.103,-25.8064
1.104,-24.8337
1.105,-24.4975
1.106,-23.4604
1.107,-21.2359
1.108,-19.7983
1.109,-18.6181
1.11,-17.7169
1.111,-16.3865
1.112,-15.0776
1.113,-12.5742
1.114,-10.9935
1.115,-9.54151
1.116,-7.8392
1.117,-6.48737
1.118,-4.82798
1.119,-3.0756
1.12,-1.35183
1.121,0.185966
1.122,1.20163
1.123,2.62499
1.124,3.51191
1.125,4.44174
1.126,6.09398
1.127,7.27415
1.128,9.32693
1.129,10.972
1.13,12.6171
1.131,15.0061
1.132,15.8215
1.133,17.0016
1.134,18.5037
1.135,19.9342
1.136,21.4791
1.137,23.9539
1.138,24.2186
1.139,24.426
1.14,26.0353
1.141,26.9008
1.142,28.9178
1.143,28.3241
1.144,29.1467
1.145,29.4185
1.146,30.942
1.147,30.0336
1.148,30.1123
1.149,30.5629
1.15,31.7073
1.151,29.5043
1.152,29.5758
1.153,30.2196
1.154,29.8119
1.155,27.5588
1.156,27.9307
1.157,27.2298
1.158,26.8793
1.159,24.755
1.16,24.24
1.161,22.9669
1.162,21.8368
1.163,21.1787
1.164,19.1903
1.165,17.395
1.166,16.1433
1.167,14.4839
1.168,13.0033
1.169,11.7087
1.17,10.3569
1.171,8.15392
1.172,6.07252
1.173,4.3273
1.174,2.63929
1.175,0.844002
1.176,-0.67234
1.177,-1.79529
1.178,-3.20435
1.179,-3.75509
1.18,-4.92096
1.181,-6.90937
1.182,-8.58307
1.183,-10.2925
1.184,-11.6229
1.185,-13.7186
1.186,-15.4638
1.187,-17.3092
1.188,-18.8613
1.189,-21.0786
1.19,-22.3088
1.191,-22.5806
1.192,-24.0254
1.193,-25.2199
1.194,-27.6732
1.195,-27.5874
1.196,-27.9307
1.197,-28.8248
1.198,-30.1838
1.199,-30.4127
1.2,-30.0264
1.201,-30.4627
1.202,-31.6501
1.203,-30.7202
1.204,-30.1623
1.205,-29.9764
1.206,-31.0922
1.207,-29.3899
1.208,-28.4886
1.209,-27.8807
1.21,-28.553
1.211,-26.0139
1.212,-24.941
1.213,-24.4904
1.214,-23.5963
1.215,-22.3947
1.216,-19.5909
1.217,-18.2104
1.218,-17.2877
1.219,-15.5997
1.22,-14.0333
1.221,-12.0735
1.222,-10.4356
1.223,-8.66175
1.224,-6.46591
1.225,-4.44889
1.226,-2.69651
1.227,-1.00851
1.228,0.522137
1.229,1.8239
1.23,3.24726
1.231,4.2057
1.232,5.77927
1.233,7.77483
1.234,9.04083
1.235,10.7288
1.236,12.6672
1.237,13.8545
1.238,16.2935
1.239,17.5095
1.24,19.3834
1.241,21.9154
1.242,22.5663
1.243,22.9812
1.244,24.7407
1.245,25.7277
1.246,28.2168
1.247,27.8592
1.248,28.7247
1.249,28.9249
1.25,30.7703
1.251,30.1266
1.252,30.1909
1.253,30.1337
1.254,31.9004
1.255,30.0694
1.256,29.6259
1.257,29.5973
1.258,30.5414
1.259,28.1525
1.26,27.4658
1.261,26.5574
1.262,27.0009
1.263,24.8766
1.264,23.3531
1.265,22.0871
1.266,20.5922
1.267,20.3133
1.268,18.1174
1.269,16.0646
1.27,14.3123
1.271,12.8961
1.272,10.7217
1.273,9.18388
1.274,7.32422
